RprtDt,StateCd,Questionnaire,Indicator number,Indicator description,Percentage
31-12-2024,ACT,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.64
31-12-2024,ACT,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.69
31-12-2024,ACT,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.59
31-12-2024,ACT,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.59
31-12-2024,ACT,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.57
31-12-2024,ALL,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.66
31-12-2024,ALL,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.69
31-12-2024,ALL,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.58
31-12-2024,ALL,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.46
31-12-2024,ALL,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.64
31-12-2024,NSW,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.67
31-12-2024,NSW,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.68
31-12-2024,NSW,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.59
31-12-2024,NSW,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.44
31-12-2024,NSW,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.66
31-12-2024,NT,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.60
31-12-2024,NT,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.65
31-12-2024,NT,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.50
31-12-2024,NT,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.64
31-12-2024,NT,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.57
31-12-2024,QLD,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.63
31-12-2024,QLD,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.70
31-12-2024,QLD,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.63
31-12-2024,QLD,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.46
31-12-2024,QLD,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.65
31-12-2024,SA,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.70
31-12-2024,SA,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.69
31-12-2024,SA,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.58
31-12-2024,SA,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.47
31-12-2024,SA,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.65
31-12-2024,TAS,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.59
31-12-2024,TAS,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.68
31-12-2024,TAS,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.58
31-12-2024,TAS,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.52
31-12-2024,TAS,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.62
31-12-2024,VIC,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.68
31-12-2024,VIC,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.69
31-12-2024,VIC,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.55
31-12-2024,VIC,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.47
31-12-2024,VIC,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.64
31-12-2024,WA,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.67
31-12-2024,WA,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.60
31-12-2024,WA,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.45
31-12-2024,WA,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.48
31-12-2024,WA,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.55
31-12-2024,ACT,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.25
31-12-2024,ACT,Participant starting school to 14,2,% who say their child is becoming more independent,0.40
31-12-2024,ACT,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.85
31-12-2024,ACT,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.68
31-12-2024,ACT,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.45
31-12-2024,ACT,Participant starting school to 14,6,"Of these, % who are welcomed or actively included",0.73
31-12-2024,ACT,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.16
