RprtDt,StateCd,Number of plan reassessments,Questionnaire,Indicator number,Indicator description,percentage Baseline,percentage Reassessment 1,percentage Reassessment 2,percentage Reassessment 3,percentage Reassessment 4,percentage Reassessment 5,percentage Reassessment 6,percentage Reassessment 7,percentage Reassessment 8
31/12/2024,ACT,1,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.65,0.71,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.68,0.82,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.47,0.58,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.51,0.53,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.52,0.56,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 0 to before school,6,Has the NDIS improved your child's development?,na,0.90,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 0 to before school,7,Has the NDIS improved your child's access to specialist services?,na,0.91,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 0 to before school,8,Has the NDIS helped increase your child's ability to communicate what they want?,na,0.83,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 0 to before school,9,Has the NDIS improved how your child fits into family life?,na,0.80,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 0 to before school,10,Has the NDIS improved how your child fits into community life?,na,0.65,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.70,0.76,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.63,0.76,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.50,0.56,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.44,0.45,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.62,0.65,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 0 to before school,6,Has the NDIS improved your child's development?,na,0.90,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 0 to before school,7,Has the NDIS improved your child's access to specialist services?,na,0.92,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 0 to before school,8,Has the NDIS helped increase your child's ability to communicate what they want?,na,0.83,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 0 to before school,9,Has the NDIS improved how your child fits into family life?,na,0.81,na,na,na,na,na,na,na
