RprtDt,StateCd,SA3Cd2016,SA3Nm2016,PrtcpntCnt
31DEC2024,ACT,-,Other,<11
31DEC2024,ACT,80101,Belconnen,2909
31DEC2024,ACT,80103,Canberra East,67
31DEC2024,ACT,80104,Gungahlin,2160
31DEC2024,ACT,80105,North Canberra,1153
31DEC2024,ACT,80106,South Canberra,539
31DEC2024,ACT,80107,Tuggeranong,2652
31DEC2024,ACT,80108,Weston Creek,633
31DEC2024,ACT,80109,Woden Valley,907
31DEC2024,ACT,80110,Molonglo,269
31DEC2024,ACT,80111,Urriarra - Namadgi,<11
31DEC2024,MIS,-,Other,16
31DEC2024,NSW,-,Other,<11
31DEC2024,NSW,10102,Queanbeyan,1474
31DEC2024,NSW,10103,Snowy Mountains,382
31DEC2024,NSW,10104,South Coast,2052
31DEC2024,NSW,10105,Goulburn - Mulwaree,1306
31DEC2024,NSW,10106,Young - Yass,1020
31DEC2024,NSW,10201,Gosford,5391
31DEC2024,NSW,10202,Wyong,6367
31DEC2024,NSW,10301,Bathurst,1466
31DEC2024,NSW,10302,Lachlan Valley,1408
31DEC2024,NSW,10303,Lithgow - Mudgee,1355
31DEC2024,NSW,10304,Orange,2002
31DEC2024,NSW,10401,Clarence Valley,1772
31DEC2024,NSW,10402,Coffs Harbour,2898
31DEC2024,NSW,10501,Bourke - Cobar - Coonamble,664
31DEC2024,NSW,10502,Broken Hill and Far West,707
31DEC2024,NSW,10503,Dubbo,2282
31DEC2024,NSW,10601,Lower Hunter,3780
31DEC2024,NSW,10602,Maitland,4225
31DEC2024,NSW,10603,Port Stephens,2575
31DEC2024,NSW,10604,Upper Hunter,919
31DEC2024,NSW,10701,Dapto - Port Kembla,2681
31DEC2024,NSW,10703,Kiama - Shellharbour,2766
31DEC2024,NSW,10704,Wollongong,3197
31DEC2024,NSW,10801,Great Lakes,886
31DEC2024,NSW,10802,Kempsey - Nambucca,2190
31DEC2024,NSW,10803,Lord Howe Island,<11
31DEC2024,NSW,10804,Port Macquarie,3482
31DEC2024,NSW,10805,Taree - Gloucester,2017
31DEC2024,NSW,10901,Albury,2646
31DEC2024,NSW,10902,Lower Murray,340
31DEC2024,NSW,10903,Upper Murray exc. Albury,1103
31DEC2024,NSW,11001,Armidale,1020
31DEC2024,NSW,11002,Inverell - Tenterfield,1018
31DEC2024,NSW,11003,Moree - Narrabri,562
31DEC2024,NSW,11004,Tamworth - Gunnedah,2738
31DEC2024,NSW,11101,Lake Macquarie - East,4539
31DEC2024,NSW,11102,Lake Macquarie - West,3345
31DEC2024,NSW,11103,Newcastle,6331
31DEC2024,NSW,11201,Richmond Valley - Coastal,2418
31DEC2024,NSW,11202,Richmond Valley - Hinterland,2877
31DEC2024,NSW,11203,Tweed Valley,2859
31DEC2024,NSW,11301,Griffith - Murrumbidgee (West),1124
31DEC2024,NSW,11302,Tumut - Tumbarumba,367
31DEC2024,NSW,11303,Wagga Wagga,3088
31DEC2024,NSW,11401,Shoalhaven,3222
31DEC2024,NSW,11402,Southern Highlands,1152
31DEC2024,NSW,11501,Baulkham Hills,2612
31DEC2024,NSW,11502,Dural - Wisemans Ferry,504
31DEC2024,NSW,11503,Hawkesbury,497
31DEC2024,NSW,11504,Rouse Hill - McGraths Hill,1251
31DEC2024,NSW,11601,Blacktown,4028
31DEC2024,NSW,11602,Blacktown - North,3583
31DEC2024,NSW,11603,Mount Druitt,3835
31DEC2024,NSW,11701,Botany,1065
31DEC2024,NSW,11702,Marrickville - Sydenham - Petersham,1033
31DEC2024,NSW,11703,Sydney Inner City,2536
31DEC2024,NSW,11801,Eastern Suburbs - North,1314
31DEC2024,NSW,11802,Eastern Suburbs - South,2434
31DEC2024,NSW,11901,Bankstown,4637
31DEC2024,NSW,11902,Canterbury,2917
31DEC2024,NSW,11903,Hurstville,2331
31DEC2024,NSW,11904,Kogarah - Rockdale,2487
31DEC2024,NSW,12001,Canada Bay,1231
31DEC2024,NSW,12002,Leichhardt,900
31DEC2024,NSW,12003,Strathfield - Burwood - Ashfield,2395
31DEC2024,NSW,12101,Chatswood - Lane Cove,1562
31DEC2024,NSW,12102,Hornsby,1796
31DEC2024,NSW,12103,Ku-ring-gai,1751
31DEC2024,NSW,12104,North Sydney - Mosman,916
31DEC2024,NSW,12201,Manly,469
31DEC2024,NSW,12202,Pittwater,903
31DEC2024,NSW,12203,Warringah,2694
31DEC2024,NSW,12301,Camden,2213
31DEC2024,NSW,12302,Campbelltown (NSW),6284
31DEC2024,NSW,12303,Wollondilly,1319
31DEC2024,NSW,12401,Blue Mountains,2455
31DEC2024,NSW,12402,Blue Mountains - South,<11
31DEC2024,NSW,12403,Penrith,5443
31DEC2024,NSW,12404,Richmond - Windsor,1205
31DEC2024,NSW,12405,St Marys,1878
31DEC2024,NSW,12501,Auburn,1718
31DEC2024,NSW,12502,Carlingford,1510
31DEC2024,NSW,12503,Merrylands - Guildford,4475
31DEC2024,NSW,12504,Parramatta,3138
31DEC2024,NSW,12601,Pennant Hills - Epping,748
31DEC2024,NSW,12602,Ryde - Hunters Hill,2713
31DEC2024,NSW,12701,Bringelly - Green Valley,4128
31DEC2024,NSW,12702,Fairfield,4407
31DEC2024,NSW,12703,Liverpool,3608
31DEC2024,NSW,12801,Cronulla - Miranda - Caringbah,2116
31DEC2024,NSW,12802,Sutherland - Menai - Heathcote,2520
31DEC2024,NSW,80103,Canberra East,<11
31DEC2024,NSW,80110,Molonglo,<11
31DEC2024,NSW,90103,Jervis Bay,<11
31DEC2024,NSW,90104,Norfolk Island,<11
31DEC2024,NT,-,Other,<11
31DEC2024,NT,31502,Outback - North,<11
31DEC2024,NT,31503,Outback - South,<11
31DEC2024,NT,40602,Outback - North and East,51
31DEC2024,NT,51002,East Pilbara,<11
31DEC2024,NT,51103,Goldfields,<11
31DEC2024,NT,70101,Darwin City,336
31DEC2024,NT,70102,Darwin Suburbs,1555
31DEC2024,NT,70103,Litchfield,450
31DEC2024,NT,70104,Palmerston,1251
31DEC2024,NT,70201,Alice Springs,1051
31DEC2024,NT,70202,Barkly,136
31DEC2024,NT,70203,Daly - Tiwi - West Arnhem,423
31DEC2024,NT,70204,East Arnhem,382
31DEC2024,NT,70205,Katherine,613
31DEC2024,OT,90101,Christmas Island,13
31DEC2024,OT,90102,Cocos (Keeling) Islands,<11
31DEC2024,OT,90103,Jervis Bay,<11
31DEC2024,OT,90104,Norfolk Island,57
31DEC2024,QLD,-,Other,<11
31DEC2024,QLD,30101,Capalaba,2305
31DEC2024,QLD,30102,Cleveland - Stradbroke,2813
31DEC2024,QLD,30103,Wynnum - Manly,1946
31DEC2024,QLD,30201,Bald Hills - Everton Park,1056
31DEC2024,QLD,30202,Chermside,1797
31DEC2024,QLD,30203,Nundah,968
31DEC2024,QLD,30204,Sandgate,1818
31DEC2024,QLD,30301,Carindale,1106
31DEC2024,QLD,30302,Holland Park - Yeronga,1664
31DEC2024,QLD,30303,Mt Gravatt,1734
31DEC2024,QLD,30304,Nathan,935
31DEC2024,QLD,30305,Rocklea - Acacia Ridge,1592
31DEC2024,QLD,30306,Sunnybank,1006
31DEC2024,QLD,30401,Centenary,770
31DEC2024,QLD,30402,Kenmore - Brookfield - Moggill,1013
31DEC2024,QLD,30403,Sherwood - Indooroopilly,864
31DEC2024,QLD,30404,The Gap - Enoggera,1489
31DEC2024,QLD,30501,Brisbane Inner,1187
31DEC2024,QLD,30502,Brisbane Inner - East,733
31DEC2024,QLD,30503,Brisbane Inner - North,1814
31DEC2024,QLD,30504,Brisbane Inner - West,936
31DEC2024,QLD,30601,Cairns - North,1292
31DEC2024,QLD,30602,Cairns - South,3192
31DEC2024,QLD,30603,Innisfail - Cassowary Coast,833
31DEC2024,QLD,30604,Port Douglas - Daintree,234
31DEC2024,QLD,30605,Tablelands (East) - Kuranda,1095
31DEC2024,QLD,30701,Darling Downs (West) - Maranoa,1090
31DEC2024,QLD,30702,Darling Downs - East,1130
31DEC2024,QLD,30703,Granite Belt,1377
31DEC2024,QLD,30801,Central Highlands (Qld),698
31DEC2024,QLD,30803,Rockhampton,4682
31DEC2024,QLD,30804,Biloela,336
31DEC2024,QLD,30805,Gladstone,2206
31DEC2024,QLD,30901,Broadbeach - Burleigh,1132
31DEC2024,QLD,30902,Coolangatta,1131
31DEC2024,QLD,30903,Gold Coast - North,1670
31DEC2024,QLD,30904,Gold Coast Hinterland,513
31DEC2024,QLD,30905,Mudgeeraba - Tallebudgera,926
31DEC2024,QLD,30906,Nerang,1954
31DEC2024,QLD,30907,Ormeau - Oxenford,4930
31DEC2024,QLD,30908,Robina,1163
31DEC2024,QLD,30909,Southport,1585
31DEC2024,QLD,30910,Surfers Paradise,562
31DEC2024,QLD,31001,Forest Lake - Oxley,2673
31DEC2024,QLD,31002,Ipswich Hinterland,2121
31DEC2024,QLD,31003,Ipswich Inner,5051
31DEC2024,QLD,31004,Springfield - Redbank,3508
31DEC2024,QLD,31101,Beaudesert,558
31DEC2024,QLD,31102,Beenleigh,1930
31DEC2024,QLD,31103,Browns Plains,3500
31DEC2024,QLD,31104,Jimboomba,2338
31DEC2024,QLD,31105,Loganlea - Carbrook,2190
31DEC2024,QLD,31106,Springwood - Kingston,2571
31DEC2024,QLD,31201,Bowen Basin - North,613
31DEC2024,QLD,31202,Mackay,3443
31DEC2024,QLD,31203,Whitsunday,460
31DEC2024,QLD,31301,Bribie - Beachmere,1005
31DEC2024,QLD,31302,Caboolture,3903
31DEC2024,QLD,31303,Caboolture Hinterland,478
31DEC2024,QLD,31304,Narangba - Burpengary,2808
31DEC2024,QLD,31305,Redcliffe,2209
31DEC2024,QLD,31401,The Hills District,2160
31DEC2024,QLD,31402,North Lakes,2897
31DEC2024,QLD,31403,Strathpine,1605
31DEC2024,QLD,31501,Far North,680
31DEC2024,QLD,31502,Outback - North,675
31DEC2024,QLD,31503,Outback - South,400
31DEC2024,QLD,31601,Buderim,1478
31DEC2024,QLD,31602,Caloundra,2726
