StateCd,SrvsDstrctNm,ActvPrtcpnts,PrjctdPrtcpnts_Jun25,PrjctdPrtcpnts_Jun26,PrjctdPrtcpnts_Jun27,PrjctdPrtcpnts_Jun28,PrjctdPrtcpnts_Jun29,PrjctdPrtcpnts_Jun30,PrjctdPrtcpnts_Jun31,PrjctdPrtcpnts_Jun32,PrjctdPrtcpnts_Jun33,PrjctdPrtcpnts_Jun34
ACT,ACT,"10,930","11,500","11,800","11,600","11,800","12,300","12,800","13,300","13,800","14,400","15,000"
NSW,Central Coast,11142,12100,12700,13100,13400,14000,14500,15100,15700,16300,16800
NSW,Far West,921,"1,000","1,100","1,100","1,100","1,200","1,200","1,300","1,300","1,400","1,400"
NSW,Hunter New England,32829,"34,700","35,500","34,700","34,800","35,900","37,200","38,600","40,000","41,400","43,000"
NSW,Illawarra Shoalhaven,"11,391","12,400","13,200","13,700","14,100","14,800","15,400","16,000","16,600","17,200","17,900"
NSW,Mid North Coast,"8,202","9,000","9,500","9,800","10,000","10,300","10,700","11,200","11,600","12,000","12,500"
NSW,Murrumbidgee,"8,687","9,600","10,100","10,400","10,700","11,000","11,500","11,900","12,400","12,900","13,300"
NSW,Nepean Blue Mountains,"11,584","12,500","13,000","13,000","13,200","13,700","14,200","14,700","15,300","15,800","16,300"
NSW,North Sydney,"13,212","14,300","15,100","15,500","15,800","16,500","17,100","17,700","18,400","19,100","19,800"
NSW,Northern NSW,"9,452","10,300","11,000","11,400","11,800","12,200","12,700","13,200","13,700","14,300","14,800"
NSW,South Eastern Sydney,"13,413","14,600","15,600","16,200","16,700","17,400","18,100","18,700","19,500","20,200","20,900"
NSW,South Western Sydney,"30,783","33,500","35,500","36,600","37,400","38,900","40,200","41,600","43,100","44,600","46,100"
NSW,Southern NSW,"5,378","5,800","6,100","6,200","6,300","6,600","6,900","7,100","7,400","7,700","8,000"
NSW,Sydney,"7,645","8,300","8,900","9,300","9,600","10,000","10,400","10,800","11,200","11,600","12,100"
NSW,Western NSW,"8,125","8,900","9,400","9,800","10,000","10,400","10,800","11,300","11,700","12,200","12,600"
NSW,Western Sydney,"24,075","26,300","27,700","28,400","28,800","29,800","30,700","31,800","32,800","34,000","35,100"
NSW,Unincorporated NSW,13,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50
NSW,Unspecified NSW,16,0,0,0,0,0,0,0,0,0,0
NT,Barkly,155,200,300,300,300,300,400,400,400,400,400
NT,Central Australia,1032,1300,1400,1500,1500,1600,1700,1800,1900,1900,2000
NT,Darwin Remote,524,600,700,800,900,900,"1,000","1,000","1,100","1,100","1,200"
NT,Darwin Urban,3513,4400,5000,5500,5800,6200,"6,400","6,700","7,000","7,400","7,600"
NT,East Arnhem,243,400,400,500,500,600,600,700,700,700,800
NT,Katherine,347,400,400,400,500,500,500,500,500,600,600
NT,Unincorporated NT,181,200,200,200,200,200,200,200,200,200,200
NT,Unspecified NT,<11,0,0,0,0,0,0,0,0,0,0
QLD,Beenleigh,16392,18000,19200,20100,21100,21700,22500,23400,24300,25200,26100
QLD,Brisbane,"26,275","28,800","30,800","32,400","34,000","35,100","36,400","37,900","39,400","41,000","42,600"
QLD,Bundaberg,"3,834","4,200","4,500","4,600","4,700","4,900","5,100","5,300","5,500","5,700","6,000"
QLD,Caboolture/Strathpine,"15,956","17,600","18,700","19,600","20,700","21,400","22,200","23,100","24,100","25,000","25,900"
QLD,Cairns,"7,054","7,700","8,300","8,700","9,100","9,400","9,800","10,200","10,600","11,000","11,500"
QLD,Ipswich,"11,537","12,600","13,400","13,900","14,300","14,900","15,500","16,100","16,700","17,400","18,000"
QLD,Mackay,"4,333","4,800","5,000","5,100","5,200","5,400","5,600","5,800","6,000","6,200","6,400"
QLD,Maroochydore,"12,450","13,600","14,500","15,300","16,200","16,800","17,400","18,100","18,800","19,500","20,200"
QLD,Maryborough,"5,565","6,100","6,500","6,800","7,100","7,300","7,600","7,900","8,200","8,600","8,900"
QLD,Robina,"14,495","15,900","17,000","17,900","18,900","19,500","20,200","21,000","21,800","22,700","23,500"
QLD,Rockhampton,"7,843","8,600","9,200","9,500","9,900","10,200","10,600","11,000","11,500","11,900","12,300"
