RprtDt,StateCd,SrvcDstrctNm,PrtcpntCnt
31DEC2024,ACT,ACT,277
31DEC2024,NSW,ACT,<11
31DEC2024,NSW,Central Coast,351
31DEC2024,NSW,Far West,14
31DEC2024,NSW,Hunter New England,900
31DEC2024,NSW,Illawarra Shoalhaven,403
31DEC2024,NSW,Mid North Coast,178
31DEC2024,NSW,Murrumbidgee,305
31DEC2024,NSW,Nepean Blue Mountains,474
31DEC2024,NSW,North Sydney,792
31DEC2024,NSW,Northern NSW,257
31DEC2024,NSW,South Eastern Sydney,529
31DEC2024,NSW,South Western Sydney,740
31DEC2024,NSW,Southern NSW,151
31DEC2024,NSW,Sydney,196
31DEC2024,NSW,Western NSW,349
31DEC2024,NSW,Western Sydney,932
31DEC2024,NT,Barkly,<11
31DEC2024,NT,Central Australia,42
31DEC2024,NT,Darwin Remote,<11
31DEC2024,NT,Darwin Urban,123
31DEC2024,NT,East Arnhem,<11
31DEC2024,NT,Katherine,22
31DEC2024,NT,Other,<11
31DEC2024,QLD,Beenleigh,398
31DEC2024,QLD,Brisbane,623
31DEC2024,QLD,Bundaberg,100
31DEC2024,QLD,Caboolture/Strathpine,383
31DEC2024,QLD,Cairns,152
31DEC2024,QLD,Ipswich,277
31DEC2024,QLD,Mackay,62
31DEC2024,QLD,Maroochydore,247
31DEC2024,QLD,Maryborough,135
31DEC2024,QLD,Robina,318
31DEC2024,QLD,Rockhampton,125
31DEC2024,QLD,Toowoomba,244
31DEC2024,QLD,Townsville,167
31DEC2024,SA,Adelaide Hills,48
31DEC2024,SA,"Barossa, Light and Lower North",42
31DEC2024,SA,Eastern Adelaide,225
31DEC2024,SA,Eyre and Western,25
31DEC2024,SA,Far North (SA),13
31DEC2024,SA,Fleurieu and Kangaroo Island,42
31DEC2024,SA,Limestone Coast,51
31DEC2024,SA,Murray and Mallee,68
31DEC2024,SA,Northern Adelaide,723
31DEC2024,SA,Other,<11
31DEC2024,SA,Southern Adelaide,570
31DEC2024,SA,Western Adelaide,168
31DEC2024,SA,Yorke and Mid North,30
31DEC2024,TAS,TAS North,99
31DEC2024,TAS,TAS North West,76
31DEC2024,TAS,TAS South East,56
31DEC2024,TAS,TAS South West,77
31DEC2024,VIC,Barwon,438
31DEC2024,VIC,Bayside Peninsula,841
31DEC2024,VIC,Brimbank Melton,289
31DEC2024,VIC,Central Highlands,335
31DEC2024,VIC,Goulburn,139
31DEC2024,VIC,Hume Moreland,243
31DEC2024,VIC,Inner East Melbourne,713
31DEC2024,VIC,Inner Gippsland,162
31DEC2024,VIC,Loddon,247
31DEC2024,VIC,Mallee,92
31DEC2024,VIC,North East Melbourne,752
31DEC2024,VIC,Other,<11
31DEC2024,VIC,Outer East Melbourne,473
31DEC2024,VIC,Outer Gippsland,79
31DEC2024,VIC,Ovens Murray,133
31DEC2024,VIC,Southern Melbourne,457
31DEC2024,VIC,Western District,268
31DEC2024,VIC,Western Melbourne,480
31DEC2024,WA,Central North Metro,190
31DEC2024,WA,Central South Metro,139
31DEC2024,WA,Goldfields-Esperance,14
31DEC2024,WA,Great Southern,24
31DEC2024,WA,Kimberley-Pilbara,<11
31DEC2024,WA,Midwest-Gascoyne,23
31DEC2024,WA,North East Metro,259
31DEC2024,WA,North Metro,168
31DEC2024,WA,South East Metro,252
31DEC2024,WA,South Metro,177
31DEC2024,WA,South West,51
31DEC2024,WA,Wheat Belt,<11
30SEP2024,ACT,ACT,274
30SEP2024,NSW,Central Coast,339
30SEP2024,NSW,Far West,14
30SEP2024,NSW,Hunter New England,891
30SEP2024,NSW,Illawarra Shoalhaven,404
30SEP2024,NSW,Mid North Coast,175
30SEP2024,NSW,Murrumbidgee,299
30SEP2024,NSW,Nepean Blue Mountains,467
30SEP2024,NSW,North Sydney,795
30SEP2024,NSW,Northern NSW,258
30SEP2024,NSW,South Eastern Sydney,521
30SEP2024,NSW,South Western Sydney,734
30SEP2024,NSW,Southern NSW,153
30SEP2024,NSW,Sydney,190
30SEP2024,NSW,Western NSW,356
30SEP2024,NSW,Western Sydney,934
30SEP2024,NT,Barkly,<11
30SEP2024,NT,Central Australia,44
30SEP2024,NT,Darwin Urban,115
30SEP2024,NT,East Arnhem,<11
30SEP2024,NT,Katherine,21
30SEP2024,NT,Other,<11
30SEP2024,QLD,Beenleigh,382
30SEP2024,QLD,Brisbane,594
30SEP2024,QLD,Bundaberg,95
30SEP2024,QLD,Caboolture/Strathpine,364
30SEP2024,QLD,Cairns,135
30SEP2024,QLD,Ipswich,269
30SEP2024,QLD,Mackay,57
30SEP2024,QLD,Maroochydore,238
30SEP2024,QLD,Maryborough,127
30SEP2024,QLD,Robina,313
30SEP2024,QLD,Rockhampton,120
30SEP2024,QLD,Toowoomba,227
30SEP2024,QLD,Townsville,161
30SEP2024,SA,Adelaide Hills,45
30SEP2024,SA,"Barossa, Light and Lower North",43
30SEP2024,SA,Eastern Adelaide,218
30SEP2024,SA,Eyre and Western,26
30SEP2024,SA,Far North (SA),12
30SEP2024,SA,Fleurieu and Kangaroo Island,42
30SEP2024,SA,Limestone Coast,51
30SEP2024,SA,Murray and Mallee,64
30SEP2024,SA,Northern Adelaide,706
30SEP2024,SA,Other,<11
30SEP2024,SA,Southern Adelaide,567
30SEP2024,SA,Western Adelaide,169
30SEP2024,SA,Yorke and Mid North,33
30SEP2024,TAS,TAS North,93
30SEP2024,TAS,TAS North West,78
30SEP2024,TAS,TAS South East,53
30SEP2024,TAS,TAS South West,81
30SEP2024,VIC,Barwon,417
30SEP2024,VIC,Bayside Peninsula,811
30SEP2024,VIC,Brimbank Melton,275
30SEP2024,VIC,Central Highlands,321
30SEP2024,VIC,Goulburn,130
30SEP2024,VIC,Hume Moreland,230
30SEP2024,VIC,Inner East Melbourne,716
30SEP2024,VIC,Inner Gippsland,150
30SEP2024,VIC,Loddon,236
30SEP2024,VIC,Mallee,90
30SEP2024,VIC,North East Melbourne,734
30SEP2024,VIC,Other,<11
30SEP2024,VIC,Outer East Melbourne,468
30SEP2024,VIC,Outer Gippsland,79
30SEP2024,VIC,Ovens Murray,130
30SEP2024,VIC,Southern Melbourne,420
30SEP2024,VIC,Western District,268
30SEP2024,VIC,Western Melbourne,469
30SEP2024,WA,Central North Metro,204
30SEP2024,WA,Central South Metro,130
30SEP2024,WA,Goldfields-Esperance,17
30SEP2024,WA,Great Southern,24
30SEP2024,WA,Kimberley-Pilbara,<11
30SEP2024,WA,Midwest-Gascoyne,21
30SEP2024,WA,North East Metro,263
30SEP2024,WA,North Metro,156
30SEP2024,WA,South East Metro,238
30SEP2024,WA,South Metro,164
30SEP2024,WA,South West,48
30SEP2024,WA,Wheat Belt,<11
30JUN2024,ACT,ACT,295
30JUN2024,NSW,Central Coast,364
30JUN2024,NSW,Far West,15
30JUN2024,NSW,Hunter New England,932
30JUN2024,NSW,Illawarra Shoalhaven,434
30JUN2024,NSW,Mid North Coast,194
30JUN2024,NSW,Murrumbidgee,316
30JUN2024,NSW,Nepean Blue Mountains,478
30JUN2024,NSW,North Sydney,838
