RprtDt,StateCd,SrvcDstrctNm,PrtcpntCnt
31DEC2024,ACT,ACT,635
31DEC2024,NSW,Central Coast,649
31DEC2024,NSW,Far West,35
31DEC2024,NSW,Hunter New England,2120
31DEC2024,NSW,Illawarra Shoalhaven,734
31DEC2024,NSW,Mid North Coast,348
31DEC2024,NSW,Murrumbidgee,499
31DEC2024,NSW,Nepean Blue Mountains,746
31DEC2024,NSW,North Sydney,1064
31DEC2024,NSW,Northern NSW,442
31DEC2024,NSW,South Eastern Sydney,829
31DEC2024,NSW,South Western Sydney,1669
31DEC2024,NSW,Southern NSW,250
31DEC2024,NSW,Sydney,420
31DEC2024,NSW,Western NSW,628
31DEC2024,NSW,Western Sydney,1561
31DEC2024,NT,Barkly,13
31DEC2024,NT,Central Australia,167
31DEC2024,NT,Darwin Remote,<11
31DEC2024,NT,Darwin Urban,359
31DEC2024,NT,East Arnhem,<11
31DEC2024,NT,Katherine,52
31DEC2024,NT,Other,15
31DEC2024,QLD,Beenleigh,810
31DEC2024,QLD,Brisbane,1321
31DEC2024,QLD,Bundaberg,192
31DEC2024,QLD,Caboolture/Strathpine,802
31DEC2024,QLD,Cairns,435
31DEC2024,QLD,Ipswich,570
31DEC2024,QLD,Mackay,200
31DEC2024,QLD,Maroochydore,619
31DEC2024,QLD,Maryborough,259
31DEC2024,QLD,Robina,749
31DEC2024,QLD,Rockhampton,287
31DEC2024,QLD,Toowoomba,591
31DEC2024,QLD,Townsville,493
31DEC2024,SA,Adelaide Hills,94
31DEC2024,SA,"Barossa, Light and Lower North",80
31DEC2024,SA,Eastern Adelaide,291
31DEC2024,SA,Eyre and Western,57
31DEC2024,SA,Far North (SA),41
31DEC2024,SA,Fleurieu and Kangaroo Island,64
31DEC2024,SA,Limestone Coast,106
31DEC2024,SA,Murray and Mallee,108
31DEC2024,SA,Northern Adelaide,1167
31DEC2024,SA,Other,<11
31DEC2024,SA,Southern Adelaide,873
31DEC2024,SA,Western Adelaide,253
31DEC2024,SA,Yorke and Mid North,79
31DEC2024,TAS,TAS North,250
31DEC2024,TAS,TAS North West,250
31DEC2024,TAS,TAS South East,190
31DEC2024,TAS,TAS South West,413
31DEC2024,VIC,Barwon,552
31DEC2024,VIC,Bayside Peninsula,1050
31DEC2024,VIC,Brimbank Melton,378
31DEC2024,VIC,Central Highlands,409
31DEC2024,VIC,Goulburn,193
31DEC2024,VIC,Hume Moreland,340
31DEC2024,VIC,Inner East Melbourne,773
31DEC2024,VIC,Inner Gippsland,235
31DEC2024,VIC,Loddon,354
31DEC2024,VIC,Mallee,115
31DEC2024,VIC,North East Melbourne,898
31DEC2024,VIC,Outer East Melbourne,540
31DEC2024,VIC,Outer Gippsland,107
31DEC2024,VIC,Ovens Murray,174
31DEC2024,VIC,Southern Melbourne,697
31DEC2024,VIC,Western District,302
31DEC2024,VIC,Western Melbourne,553
31DEC2024,WA,Central North Metro,485
